Year,Region,Sex,Age Group,Ethnic Group,Measure,Value,Flags
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","Pacific Peoples","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","Pacific Peoples","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",275,
"2018","Auckland Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",200,
"2018","Waikato Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",206,
"2018","Waikato Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",152,
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",284,
"2018","Wellington Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",306,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","Asian","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","Asian","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","MELAA","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","MELAA","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",385,
"2018","Taranaki Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",218,
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","Other Ethnicity","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","15 to 19","Other Ethnicity","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",899,
"2018","Northland Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",880,
"2018","Auckland Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",830,
"2018","Auckland Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",825,
"2018","Waikato Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",827,
"2018","Waikato Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",860,
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",865,
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",871,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","European","Average Weekly Earnings",727,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","European","Median Weekly Earnings",740,
"2018","Taranaki Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",871,
"2018","Taranaki Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",773,
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",823,
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",780,
"2018","Wellington Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",720,
"2018","Wellington Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",767,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","European","Average Weekly Earnings",843,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","European","Median Weekly Earnings",784,
"2018","Canterbury Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",709,
"2018","Canterbury Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",680,
"2018","Otago Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",649,
"2018","Otago Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",652,
"2018","Southland Region","Total Both Sexes","20 to 24","European","Average Weekly Earnings",880,
"2018","Southland Region","Total Both Sexes","20 to 24","European","Median Weekly Earnings",779,
"2018","Northland Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",863,
"2018","Northland Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",901,
"2018","Auckland Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",847,
"2018","Auckland Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",810,
"2018","Waikato Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",702,
"2018","Waikato Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",800,
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",777,
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",750,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",762,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",765,
"2018","Taranaki Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",666,
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",712,
"2018","Wellington Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",642,
"2018","Wellington Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",672,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",886,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",850,
"2018","Canterbury Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",589,
"2018","Canterbury Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",442,
"2018","Otago Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",637,
"2018","Otago Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",656,
"2018","Southland Region","Total Both Sexes","20 to 24","Maori","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","20 to 24","Maori","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",702,
"2018","Auckland Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",740,
"2018","Waikato Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",644,
"2018","Waikato Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",724,
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",793,
"2018","Wellington Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",800,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",638,
"2018","Canterbury Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",700,
"2018","Otago Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","20 to 24","Pacific Peoples","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","20 to 24","Pacific Peoples","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",693,
"2018","Auckland Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",752,
"2018","Waikato Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",715,
"2018","Waikato Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",735,
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",482,
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",495,
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",453,
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",343,
"2018","Wellington Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",632,
"2018","Wellington Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",776,
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",663,
"2018","Canterbury Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",680,
"2018","Otago Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",761,
"2018","Otago Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",640,
"2018","Southland Region","Total Both Sexes","20 to 24","Asian","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","20 to 24","Asian","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","20 to 24","MELAA","Average Weekly Earnings",,s
"2018","Southland Region","Total Both Sexes","20 to 24","MELAA","Median Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Northland Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Auckland Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Waikato Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Bay of Plenty Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Gisborne/Hawkes Bay Regions","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Taranaki Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",986,
"2018","Taranaki Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",940,
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Manawatu-Wanganui Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Wellington Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Nelson/Tasman/Marlborough/West Coast Regions","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Canterbury Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","20 to 24","Other Ethnicity","Average Weekly Earnings",,s
"2018","Otago Region","Total Both Sexes","20 to 24","Other Ethnicity","Median Weekly Earnings",,s
